PARKING_ZONE,STALL_TYPE,BLOCK_SIDE,PERMIT_ZONE,PRICE_ZONE,ENFORCEABLE_TIME,MAX_TIME,PARKING_RESTRICT_TYPE,BRZ_NAME,First_address,Second_address,First_address_Second_address,availability,number_of_spots_left
3329,Parallel,N,3329,9,0910-1750 MON-FRI,120,AM,Beltline,12 Av SW , 8 St SW ,12 Av SW  &  8 St SW ,5,5
1448,Parallel,S,1448,7,0910-1750 MON-FRI,180,none,Downtown,4 Av SW , 10 St SW ,4 Av SW  &  10 St SW ,5,5
2891,Parallel,N,2891,8,0910-1520 MON-FRI,120,PM,,10 Av SW , 12 St SW ,10 Av SW  &  12 St SW ,5,5
2891,Parallel,N,2891,8,0910-1520 MON-FRI,120,PM,,10 Av SW , 12 St SW ,10 Av SW  &  12 St SW ,5,5
2891,Parallel,N,2891,8,0910-1520 MON-FRI,120,PM,,10 Av SW , 12 St SW ,10 Av SW  &  12 St SW ,5,5
5299,Parallel,N,5299,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,Inglewood,9 Av SE , 11 St SE ,9 Av SE  &  11 St SE ,5,5
5310,Parallel,N,5310,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,Inglewood,9 Av SE , 12 St SE ,9 Av SE  &  12 St SE ,5,5
5310,Parallel,N,5310,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,Inglewood,9 Av SE , 12 St SE ,9 Av SE  &  12 St SE ,5,5
5310,Parallel,N,5310,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,Inglewood,9 Av SE , 12 St SE ,9 Av SE  &  12 St SE ,5,5
4642,Parallel,W,4642,13,"0910-1520 MON-FRI, 0910-1750 SAT",60,PM,4 Street SW,4 St SW , 17 Av SW ,4 St SW  &  17 Av SW ,5,5
2399,Parallel,N,2399,6,0910-1750 MON-FRI,120,AM,Downtown,9 Av SW , 8 St SW ,9 Av SW  &  8 St SW ,5,5
2385,Parallel,N,2385,7,0910-1750 MON-FRI,120,AM,Downtown,9 Av SW , 9 St SW ,9 Av SW  &  9 St SW ,5,5
2399,Parallel,N,2399,6,0910-1750 MON-FRI,120,AM,Downtown,9 Av SW , 8 St SW ,9 Av SW  &  8 St SW ,5,5
2927,Parallel,N,2927,12,0910-1750 MON-FRI,120,none,Beltline,10 Av SW , 2 St SW ,10 Av SW  &  2 St SW ,5,5
2927,Parallel,N,2927,12,0910-1750 MON-FRI,120,none,Beltline,10 Av SW , 2 St SW ,10 Av SW  &  2 St SW ,5,5
3584,Parallel,S,3584,9,0910-1750 MON-FRI,120,AM,,12 Av SW , 8 St SW ,12 Av SW  &  8 St SW ,5,5
3584,Parallel,S,3584,9,0910-1750 MON-FRI,120,AM,,12 Av SW , 8 St SW ,12 Av SW  &  8 St SW ,5,5
3600,Parallel,S,3600,9,0910-1750 MON-FRI,120,AM,Beltline,12 Av SW , 7 St SW ,12 Av SW  &  7 St SW ,5,5
3626,Parallel,S,3626,9,0910-1750 MON-FRI,120,AM,,12 Av SW , 5 St SW ,12 Av SW  &  5 St SW ,5,5
5383,Parallel,E,5383,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,Inglewood,9 Av SE , 9 St SE ,9 Av SE  &  9 St SE ,5,5
5383,Parallel,E,5383,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,Inglewood,9 Av SE , 9 St SE ,9 Av SE  &  9 St SE ,5,5
2763,Parallel,N,2763,18,0910-1750 MON-SAT,120,none,Kensington / Louise Crossing,2 Av NW , 9A St NW ,2 Av NW  &  9A St NW ,5,5
3113,Parallel,N,3113,12,0910-1520 MON-FRI,60,PM,Beltline,11 Av SW , 4 St Sw ,11 Av SW  &  4 St Sw ,5,5
5303,Parallel,W,5303,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,Inglewood,11 St SE , 8 Av SE ,11 St SE  &  8 Av SE ,5,5
5402,Parallel,S,5402,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,Inglewood,10 Av SE , 10 St SE ,10 Av SE  &  10 St SE ,5,5
2271,Parallel,W,2271,4c,0910-1750 MON-SAT,120,none,Downtown,Centre St S , 7 Av SW ,Centre St S  &  7 Av SW ,5,5
1020,Parallel,E,1020,5,0910-1750 MON-SAT,120,none,Chinatown,2 St SW , Riverfront Av SW ,2 St SW  &  Riverfront Av SW ,5,5
1020,Parallel,E,1020,5,0910-1750 MON-SAT,120,none,Chinatown,2 St SW , Riverfront Av SW ,2 St SW  &  Riverfront Av SW ,5,5
4666,Parallel,S,4666,13,0910-1750 MON-SAT,180,AM,,17 Av SW , 1 St SW ,17 Av SW  &  1 St SW ,5,5
5370,Parallel,N,5370,23,0910-1750 MON-SAT,540,none,,8 Av NW , 10 St NW ,8 Av NW  &  10 St NW ,5,5
1870,Parallel,E,1870,1,0910-1750 MON-FRI,240,none,,4 St SE , 5 Av SE ,4 St SE  &  5 Av SE ,5,5
5370,Perpendicular,S,5370,23,0910-1750 MON-SAT,540,none,,8 Av NW , 10 St NW ,8 Av NW  &  10 St NW ,5,5
5370,Perpendicular,N,5370,23,0910-1750 MON-SAT,540,none,,8 Av NW , 10 St NW ,8 Av NW  &  10 St NW ,5,5
1515,Parallel,S,1515,4b,0910-1750 MON-FRI,120,none,Downtown,4 Av SW , 5 St SW ,4 Av SW  &  5 St SW ,5,5
5370,Perpendicular,N,5370,23,0910-1750 MON-SAT,540,none,,8 Av NW , 10 St NW ,8 Av NW  &  10 St NW ,5,5
3319,Parallel,E,3319,8,0910-1750 MON-SAT,540,none,,10 St SW , 11 Av SW ,10 St SW  &  11 Av SW ,5,5
5370,Perpendicular,S,5370,23,0910-1750 MON-SAT,540,none,,8 Av NW , 10 St NW ,8 Av NW  &  10 St NW ,5,5
1745,Parallel,E,1745,4b,0910-1750 MON-FRI,120,none,Downtown,5 St SW , 5 Av SW ,5 St SW  &  5 Av SW ,5,5
2108,Parallel,E,2108,1,0910-1750 MON-FRI,240,none,,4 St SE , 6 Av SE ,4 St SE  &  6 Av SE ,5,5
1652,Parallel,S,1652,7,0910-1750 MON-SAT,180,AM&PM,Downtown,5 Av SW , 10 St SW ,5 Av SW  &  10 St SW ,5,5
5566,Parallel,S,5566,25,0910-1750 MON-SAT,120,none,,49 Av SW,   6 St SW ,49 Av SW &    6 St SW ,5,5
4666,Parallel,S,4666,13,0910-1750 MON-SAT,180,AM,,17 Av SW , 1 St SW ,17 Av SW  &  1 St SW ,5,5
4666,Parallel,S,4666,13,0910-1750 MON-SAT,180,AM,,17 Av SW , 1 St SW ,17 Av SW  &  1 St SW ,5,5
3136,Parallel,S,3136,12,0910-1750 MON-FRI,120,AM,Victoria Park,10 Av SW , 1 St Sw ,10 Av SW  &  1 St Sw ,5,5
4371,Parallel,N,4371,11,"0910-1520 MON-FRI, 0910-1750 SAT",120,PM,Uptown 17,17 Av SW , 12 St SW ,17 Av SW  &  12 St SW ,5,5
4607,Parallel,S,4607,11,0910-1750 MON-SAT,120,AM,Uptown 17,17 Av SW , 8 St SW ,17 Av SW  &  8 St SW ,5,5
4572,Parallel,S,4572,11,0910-1750 MON-SAT,120,AM,Uptown 17,17 Av SW , 11 St SW ,17 Av SW  &  11 St SW ,5,5
2931,Parallel,N,2931,12,0910-1750 MON-FRI,120,none,Victoria Park,10 Av SW , 1 St SW ,10 Av SW  &  1 St SW ,5,5
2467,Parallel,W,2467,4c,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,Downtown,3 St SW , 8 Av SW ,3 St SW  &  8 Av SW ,5,5
1603,Parallel,W,1604,4a,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,Downtown,1 St SE , 3 Av SE ,1 St SE  &  3 Av SE ,5,5
1211,Parallel,E,1211,5,0910-1750 MON-SAT,120,none,Downtown,4 St SW , 2 Av SW ,4 St SW  &  2 Av SW ,5,5
1225,Parallel,E,1225,5,0910-1750 MON-SAT,120,none,Downtown,3 St SW , 2 Av SW ,3 St SW  &  2 Av SW ,5,5
1517,Parallel,S,1517,4b,0910-1750 MON-FRI,120,none,Downtown,4 Av SW , 5 St SW ,4 Av SW  &  5 St SW ,5,5
2412,Parallel,W,2412,4d,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,Downtown,7 St SW , 8 Av SW ,7 St SW  &  8 Av SW ,5,5
2368,Parallel,W,2368,7,0910-1750 MON-FRI,180,none,Downtown,10 St SW , 8 Av SW ,10 St SW  &  8 Av SW ,5,5
5370,Perpendicular,S,5370,23,0910-1750 MON-SAT,540,none,,8 Av NW , 10 St NW ,8 Av NW  &  10 St NW ,5,5
1162,Angle,W,1162,5,0910-1750 MON-SAT,180,none,Downtown,6 St SW , 2 Av SW ,6 St SW  &  2 Av SW ,5,5
5304,Parallel,E,5304,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,Inglewood,11 St SE , 8 Av SE ,11 St SE  &  8 Av SE ,5,5
5295,Parallel,N,5295,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,Inglewood,8 Av SE , 11 St SE ,8 Av SE  &  11 St SE ,5,5
3162,Parallel,S,3162,14,0910-1750 MON-FRI,120,none,,10 Av SE , Centre St S ,10 Av SE  &  Centre St S ,5,5
5393,Parallel,N,5393,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,Inglewood,10 Av SE , 10 St SE ,10 Av SE  &  10 St SE ,5,5
3162,Parallel,S,3162,14,0910-1750 MON-FRI,120,none,,10 Av SE , Centre St S ,10 Av SE  &  Centre St S ,5,5
5304,Parallel,E,5304,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,Inglewood,11 St SE , 8 Av SE ,11 St SE  &  8 Av SE ,5,5
2034,Parallel,W,2034,4a,0910-1750 MON-SAT,120,none,Downtown,Centre St S , 6 Av SE ,Centre St S  &  6 Av SE ,5,5
